Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,NORTH MACEDONIA,SKOPJE,0.0,0.0,0.0,1274.0,15.0,922.0,6146.7,918.0,341.0,26.766091051805336,1274.0,933.0,341.0,26.766091051805336
Austria,PAKISTAN,ISLAMABAD,0.0,0.0,0.0,1179.0,626.0,78.0,12.5,1.0,552.0,46.81933842239186,1179.0,627.0,552.0,46.81933842239186
Austria,PERU,LIMA,0.0,0.0,0.0,12.0,12.0,12.0,100.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0
Austria,PHILIPPINES,MANILA,0.0,0.0,0.0,4601.0,4224.0,4224.0,100.0,0.0,377.0,8.193870897630951,4601.0,4224.0,377.0,8.193870897630951
Austria,ROMANIA,BUCHAREST,0.0,0.0,0.0,256.0,237.0,69.0,29.1,0.0,19.0,7.421875,256.0,237.0,19.0,7.421875
Austria,RUSSIAN FEDERATION,MOSCOW,1.0,1.0,0.0,40262.0,39429.0,29637.0,75.2,136.0,697.0,1.7311608961303464,40263.0,39566.0,697.0,1.7311178998087575
Austria,SAUDI ARABIA,RIYADH,1.0,1.0,0.0,13244.0,9179.0,12148.0,132.3,3713.0,352.0,2.6578073089700998,13245.0,12893.0,352.0,2.65760664401661
Austria,SENEGAL,DAKAR,0.0,0.0,0.0,1157.0,535.0,126.0,23.6,0.0,622.0,53.75972342264477,1157.0,535.0,622.0,53.75972342264477
Austria,SERBIA,BELGRADE,0.0,0.0,0.0,540.0,519.0,421.0,81.1,0.0,21.0,3.888888888888889,540.0,519.0,21.0,3.888888888888889
Austria,SLOVAKIA,BRATISLAVA,0.0,0.0,0.0,33.0,31.0,27.0,87.1,1.0,1.0,3.0303030303030303,33.0,32.0,1.0,3.0303030303030303
Austria,SLOVENIA,LJUBLJANA,0.0,0.0,0.0,25.0,25.0,25.0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0
Austria,SOUTH AFRICA,PRETORIA,3.0,3.0,0.0,6412.0,5615.0,6255.0,111.4,668.0,129.0,2.011852776044916,6415.0,6286.0,129.0,2.01091192517537
Austria,SOUTH KOREA,SEOUL,0.0,0.0,0.0,188.0,183.0,172.0,94.0,0.0,5.0,2.6595744680851063,188.0,183.0,5.0,2.6595744680851063
Austria,SYRIA,DAMASCUS,0.0,0.0,0.0,231.0,222.0,61.0,27.5,9.0,0.0,0.0,231.0,231.0,0.0,0.0
Austria,TAIWAN,TAIPEI,0.0,0.0,0.0,154.0,150.0,143.0,95.3,0.0,4.0,2.5974025974025974,154.0,150.0,4.0,2.5974025974025974
Austria,THAILAND,BANGKOK,0.0,0.0,0.0,21487.0,21174.0,21173.0,100.0,0.0,313.0,1.4566947456601667,21487.0,21174.0,313.0,1.4566947456601667
Austria,TUNISIA,TUNIS,0.0,0.0,0.0,1947.0,1415.0,619.0,43.7,2.0,530.0,27.221366204417052,1947.0,1417.0,530.0,27.221366204417052
Austria,TURKEY,ANKARA,1.0,1.0,0.0,5308.0,5300.0,562.0,10.6,2.0,6.0,0.11303692539562923,5309.0,5303.0,6.0,0.1130156338293464
Austria,TURKEY,ISTANBUL,0.0,0.0,0.0,13202.0,10813.0,7983.0,73.8,7.0,2382.0,18.042720799878804,13202.0,10820.0,2382.0,18.042720799878804
Austria,UKRAINE,KYIV,1.0,1.0,0.0,1697.0,1640.0,1092.0,66.6,4.0,53.0,3.1231585150265175,1698.0,1645.0,53.0,3.121319199057715
Austria,UNITED ARAB EMIRATES,ABU DHABI,1.0,1.0,0.0,4612.0,3707.0,2723.0,73.5,30.0,875.0,18.972246313963574,4613.0,3738.0,875.0,18.968133535660094
